Eleitor#	Região	Candidato
1229	Oeste: Outros	Professor Goiaba 
1230	Central	Ângela do Zé Rolinha 
1231	Central	Capitã Cloroquina 
1232	Sul	Gordinho da Usina 
1233	Central	Capitã Cloroquina 
1234	Oeste: Outros	Madurão 
1235	Sul	Adriano Pirulito 
1236	Grande Tijuca	Sallim Solução Amor no Coração 
1237	Grande Tijuca	Ângela do Zé Rolinha 
1238	Grande Tijuca	Capitã Cloroquina 
1239	Norte	Pipi de Jorge 
1240	Ilha e Leopoldina	Zé Perninha 
1241	Norte	Quinzinho da Água Parada 
1242	Central	Ângela do Zé Rolinha 
1243	Central	Ângela do Zé Rolinha 
1244	Ilha e Leopoldina	Ferreira do Suvacão 
1245	Central	Capitã Cloroquina 
1246	Central	Tadeu Tô Contigo 
1247	Central	Valéria Minha Prima 
1248	Central	Tadeu Tô Contigo 
1249	Norte	Enia da Toca da Onça 
1250	Ilha e Leopoldina	Donizete Gato Preto 
1251	Norte	Enia da Toca da Onça 
1252	Central	Madurão 
1253	Oeste: Outros	Itamar Boi 
1254	Oeste: Outros	Gordinho da Usina 
1255	Grande Tijuca	Professor Goiaba 
1256	Grande Tijuca	Valéria Minha Prima 
1257	Sul	Ângela do Zé Rolinha 
1258	Norte	Pipi de Jorge 
1259	Grande Tijuca	Agenor Passa Régua 
1260	Ilha e Leopoldina	Enia da Toca da Onça 
1261	Grande Tijuca	Quinzinho da Água Parada 
1262	Oeste: Outros	Pé de Pato do Lixo 
1263	Grande Tijuca	Pé de Pato do Lixo 
1264	Oeste: Outros	Zé Perninha 
1265	Norte	Madurão 
1266	Sul	Ângela do Zé Rolinha 
1267	Ilha e Leopoldina	Ferreira do Suvacão 
1268	Grande Tijuca	Sallim Solução Amor no Coração 
1269	Grande Tijuca	Tadeu Tô Contigo 
1270	Ilha e Leopoldina	Tadeu Tô Contigo 
1271	Ilha e Leopoldina	Herminho Anão da VGC 
1272	Norte	Alessandro Fuscão 
1273	Oeste: Outros	Quinzinho da Água Parada 
1274	Grande Tijuca	Dudu Cremoso 
1275	Sul	Tadeu Tô Contigo 
1276	Central	Pé de Pato do Lixo 
1277	Grande Tijuca	Gordinho da Usina 
1278	Oeste: Outros	Sallim Solução Amor no Coração 
1279	Central	Gordinho da Usina 
1280	Sul	Quinzinho da Água Parada 
1281	Norte	Agenor Passa Régua 
1282	Grande Tijuca	Ferreira do Suvacão 
1283	Sul	Zé Perninha 
1284	Ilha e Leopoldina	Quinzinho da Água Parada 
1285	Sul	Adriano Pirulito 
1286	Norte	Pé de Pato do Lixo 
1287	Ilha e Leopoldina	Capitã Cloroquina 
1288	Central	Capitã Cloroquina 
1289	Oeste: Outros	Ricardo Fucinho 
1290	Oeste: Outros	Dudu Cremoso 
1291	Norte	Valéria Minha Prima 
1292	Grande Tijuca	Adriano Pirulito 
1293	Norte	Adriano Pirulito 
1294	Sul	Valéria Minha Prima 
1295	Oeste: Outros	Quinzinho da Água Parada 
1296	Ilha e Leopoldina	Tadeu Tô Contigo 
1297	Grande Tijuca	Ferreira do Suvacão 
1298	Norte	Sallim Solução Amor no Coração 
1299	Grande Tijuca	Donizete Gato Preto 
1300	Grande Tijuca	Enia da Toca da Onça 
1301	Central	Capitã Cloroquina 
1302	Oeste: Outros	Sallim Solução Amor no Coração 
1303	Norte	Ferreira do Suvacão 
1304	Ilha e Leopoldina	Ângela do Zé Rolinha 
1305	Ilha e Leopoldina	Zé Perninha 
1306	Sul	Agenor Passa Régua 
1307	Central	Pé de Pato do Lixo 
1308	Oeste: Outros	Gordinho da Usina 
1309	Ilha e Leopoldina	Capitã Cloroquina 
1310	Ilha e Leopoldina	Capitã Cloroquina 
1311	Ilha e Leopoldina	Alessandro Fuscão 
1312	Sul	Ferreira do Suvacão 
1313	Norte	Capitã Cloroquina 
1314	Ilha e Leopoldina	Ricardo Fucinho 
1315	Grande Tijuca	Itamar Boi 
1316	Oeste: Outros	Itamar Boi 
1317	Grande Tijuca	Ferreira do Suvacão 
1318	Grande Tijuca	Ângela do Zé Rolinha 
1319	Central	Capitã Cloroquina 
1320	Central	Pé de Pato do Lixo 
1321	Sul	Agenor Passa Régua 
1322	Oeste: Outros	Donizete Gato Preto 
1323	Norte	Capitã Cloroquina 
1324	Ilha e Leopoldina	Ferreira do Suvacão 
1325	Grande Tijuca	Professor Goiaba 
1326	Grande Tijuca	Ferreira do Suvacão 
1327	Sul	Adriano Pirulito 
1328	Sul	Herminho Anão da VGC 
1329	Sul	Valéria Minha Prima 
1330	Grande Tijuca	Ângela do Zé Rolinha 
1331	Sul	Madurão 
1332	Oeste: Outros	Tadeu Tô Contigo 
1333	Central	Quinzinho da Água Parada 
1334	Sul	Advogado de Deus 
1335	Central	Dudu Cremoso 
1336	Oeste: Outros	Professor Goiaba 
1337	Norte	Pé de Pato do Lixo 
1338	Norte	Agenor Passa Régua 
1339	Sul	Ricardo Fucinho 
1340	Central	Zé Perninha 
1341	Grande Tijuca	Capitã Cloroquina 
1342	Norte	Tadeu Tô Contigo 
1343	Central	Itamar Boi 
1344	Ilha e Leopoldina	Tadeu Tô Contigo 
1345	Ilha e Leopoldina	Ferreira do Suvacão 
1346	Ilha e Leopoldina	Alessandro Fuscão 
1347	Ilha e Leopoldina	Dudu Cremoso 
1348	Oeste: Outros	Ângela do Zé Rolinha 
1349	Central	Sallim Solução Amor no Coração 
1350	Sul	Gordinho da Usina 
1351	Grande Tijuca	Ângela do Zé Rolinha 
1352	Oeste: Outros	Ferreira do Suvacão 
1353	Grande Tijuca	Capitã Cloroquina 
1354	Grande Tijuca	Herminho Anão da VGC 
1355	Sul	Ferreira do Suvacão 
1356	Sul	Tadeu Tô Contigo 
1357	Norte	Itamar Boi 
1358	Norte	Professor Goiaba 
1359	Sul	Ricardo Fucinho 
1360	Norte	Capitã Cloroquina 
1361	Grande Tijuca	Pé de Pato do Lixo 
1362	Oeste: Outros	Ângela do Zé Rolinha 
1363	Oeste: Outros	Madurão 
1364	Oeste: Outros	Zé Perninha 
1365	Ilha e Leopoldina	Adriano Pirulito 
1366	Oeste: Outros	Ferreira do Suvacão 
1367	Grande Tijuca	Quinzinho da Água Parada 
1368	Norte	Quinzinho da Água Parada 
1369	Grande Tijuca	Itamar Boi 
1370	Central	Alessandro Fuscão 
1371	Central	Pipi de Jorge 
1372	Sul	Ângela do Zé Rolinha 
1373	Oeste: Outros	Pipi de Jorge 
1374	Grande Tijuca	Agenor Passa Régua 
1375	Grande Tijuca	Ricardo Fucinho 
1376	Central	Valéria Minha Prima 
1377	Sul	Donizete Gato Preto 
1378	Oeste: Outros	Itamar Boi 
1379	Sul	Adriano Pirulito 
1380	Sul	Agenor Passa Régua 
1381	Sul	Adriano Pirulito 
1382	Sul	Pipi de Jorge 
1383	Sul	Alessandro Fuscão 
1384	Grande Tijuca	Quinzinho da Água Parada 
1385	Ilha e Leopoldina	Adriano Pirulito 
1386	Oeste: Outros	Professor Goiaba 
1387	Oeste: Outros	Ferreira do Suvacão 
1388	Ilha e Leopoldina	Ricardo Fucinho 
1389	Oeste: Outros	Alessandro Fuscão 
1390	Norte	Professor Goiaba 
1391	Oeste: Outros	Professor Goiaba 
1392	Central	Herminho Anão da VGC 
1393	Sul	Agenor Passa Régua 
1394	Norte	Adriano Pirulito 
1395	Ilha e Leopoldina	Advogado de Deus 
1396	Grande Tijuca	Alessandro Fuscão 
1397	Norte	Pé de Pato do Lixo 
1398	Grande Tijuca	Herminho Anão da VGC 
1399	Oeste: Outros	Enia da Toca da Onça 
1400	Norte	Valéria Minha Prima 
1401	Oeste: Outros	Agenor Passa Régua 
1402	Grande Tijuca	Gordinho da Usina 
1403	Norte	Madurão 
1404	Sul	Herminho Anão da VGC 
1405	Grande Tijuca	Valéria Minha Prima 
1406	Grande Tijuca	Itamar Boi 
1407	Sul	Adriano Pirulito 
1408	Sul	Ângela do Zé Rolinha 
1409	Central	Herminho Anão da VGC 
1410	Central	Itamar Boi 
1411	Sul	Ângela do Zé Rolinha 
1412	Ilha e Leopoldina	Dudu Cremoso 
1413	Oeste: Outros	Advogado de Deus 
1414	Ilha e Leopoldina	Madurão 
1415	Norte	Dudu Cremoso 
1416	Sul	Sallim Solução Amor no Coração 
1417	Oeste: Outros	Madurão 
1418	Oeste: Outros	Zé Perninha 
1419	Oeste: Outros	Advogado de Deus 
1420	Ilha e Leopoldina	Adriano Pirulito 
1421	Ilha e Leopoldina	Madurão 
1422	Central	Gordinho da Usina 
1423	Sul	Pé de Pato do Lixo 
1424	Central	Donizete Gato Preto 
1425	Sul	Ferreira do Suvacão 
1426	Ilha e Leopoldina	Sallim Solução Amor no Coração 
1427	Sul	Pipi de Jorge 
1428	Norte	Tadeu Tô Contigo 
1429	Oeste: Outros	Enia da Toca da Onça 
1430	Norte	Zé Perninha 
1431	Sul	Pipi de Jorge 
1432	Grande Tijuca	Advogado de Deus 
1433	Central	Professor Goiaba 
1434	Grande Tijuca	Zé Perninha 
1435	Sul	Madurão 
1436	Norte	Advogado de Deus 
1437	Grande Tijuca	Madurão 
1438	Ilha e Leopoldina	Tadeu Tô Contigo 
1439	Grande Tijuca	Tadeu Tô Contigo 
1440	Sul	Dudu Cremoso 
1441	Sul	Ricardo Fucinho 
1442	Sul	Ângela do Zé Rolinha 
1443	Grande Tijuca	Zé Perninha 
1444	Central	Professor Goiaba 
1445	Grande Tijuca	Adriano Pirulito 
1446	Oeste: Outros	Alessandro Fuscão 
1447	Sul	Madurão 
1448	Sul	Zé Perninha 
1449	Norte	Quinzinho da Água Parada 
1450	Ilha e Leopoldina	Quinzinho da Água Parada 
1451	Sul	Adriano Pirulito 
1452	Sul	Valéria Minha Prima 
1453	Norte	Zé Perninha 
1454	Ilha e Leopoldina	Dudu Cremoso 
1455	Grande Tijuca	Ângela do Zé Rolinha 
1456	Oeste: Outros	Gordinho da Usina 
1457	Norte	Alessandro Fuscão 
1458	Ilha e Leopoldina	Quinzinho da Água Parada 
1459	Sul	Madurão 
1460	Central	Zé Perninha 
1461	Ilha e Leopoldina	Tadeu Tô Contigo 
1462	Ilha e Leopoldina	Agenor Passa Régua 
1463	Norte	Agenor Passa Régua 
1464	Norte	Pipi de Jorge 
1465	Norte	Enia da Toca da Onça 
1466	Central	Itamar Boi 
1467	Central	Ricardo Fucinho 
1468	Grande Tijuca	Professor Goiaba 
1469	Sul	Valéria Minha Prima 
1470	Central	Sallim Solução Amor no Coração 
1471	Sul	Professor Goiaba 
1472	Oeste: Outros	Sallim Solução Amor no Coração 
1473	Ilha e Leopoldina	Enia da Toca da Onça 
1474	Sul	Pipi de Jorge 
1475	Sul	Dudu Cremoso 
1476	Ilha e Leopoldina	Sallim Solução Amor no Coração 
1477	Grande Tijuca	Ricardo Fucinho 
1478	Oeste: Outros	Gordinho da Usina 
1479	Norte	Dudu Cremoso 
1480	Grande Tijuca	Pé de Pato do Lixo 
1481	Ilha e Leopoldina	Enia da Toca da Onça 
1482	Central	Valéria Minha Prima 
1483	Oeste: Outros	Ângela do Zé Rolinha 
1484	Oeste: Outros	Valéria Minha Prima 
1485	Sul	Dudu Cremoso 
1486	Grande Tijuca	Ferreira do Suvacão 
1487	Sul	Donizete Gato Preto 
1488	Ilha e Leopoldina	Ângela do Zé Rolinha 
1489	Central	Adriano Pirulito 
1490	Central	Enia da Toca da Onça 
1491	Central	Capitã Cloroquina 
1492	Central	Ricardo Fucinho 
1493	Oeste: Outros	Capitã Cloroquina 
1494	Grande Tijuca	Advogado de Deus 
1495	Sul	Tadeu Tô Contigo 
1496	Norte	Sallim Solução Amor no Coração 
1497	Grande Tijuca	Sallim Solução Amor no Coração 
1498	Norte	Adriano Pirulito 
1499	Ilha e Leopoldina	Quinzinho da Água Parada 
1500	Central	Madurão 
